cell_i,cell_j,feature,p_value,is_stdev
Amygdala,L5FS,sahp_first_AP_width_stim_300,0.03426400773486914,False
Amygdala,L5FS,sahp_first_AP_fall_time_stim_300,0.03426400773486914,False
Amygdala,L5FS,apwaveform_mean_peak_voltage_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_AP_amplitude_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_peak_voltage_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AP_half_width_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AHP_fall_tau_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AP_width_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_time_to_AP_peak_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_AP_width_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AP_amplitude_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AP_rise_time_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_time_to_AP_peak_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AP_begin_voltage_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_AP_rise_time_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_mean_AP_fall_time_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_AP_fall_time_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_AP_half_width_stim_100,0.049227455903385224,False
Amygdala,L5FS,apwaveform_first_AHP_fall_tau_stim_100,0.049227455903385224,False
Amygdala,L5FS,idthres_peak_frequency_stim_-126,0.057100606072064096,False
Amygdala,L5FS,idthres_mean_AP_begin_voltage_stim_102,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_time_to_AP_peak_stim_-80,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_AP_fall_time_stim_-80,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_AP_amplitude_stim_-80,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_AP_rise_time_stim_-80,0.05869644241285051,False
Amygdala,L5FS,idthres_mean_peak_voltage_stim_102,0.05869644241285051,False
Amygdala,L5FS,idrest_first_peak_voltage_stim_100,0.05869644241285051,False
Amygdala,L5FS,idrest_first_AP_amplitude_stim_100,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_min_AHP_voltage_stim_-80,0.05869644241285051,False
Amygdala,L5FS,idthres_first_min_AHP_voltage_stim_102,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_peak_voltage_stim_-80,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_AP_half_width_stim_-80,0.05869644241285051,False
Amygdala,L5FS,hyperdepol_first_AP_width_stim_-80,0.05869644241285051,False
Amygdala,L5FS,idrest_mean_AP_amplitude_stim_100,0.05869644241285051,False
Amygdala,L5FS,idthres_first_peak_voltage_stim_102,0.05869644241285051,False
Amygdala,L5FS,idrest_mean_peak_voltage_stim_100,0.05869644241285051,False
Amygdala,L5FS,idthres_first_AP_amplitude_stim_102,0.05869644241285051,False
Amygdala,L5FS,idthres_mean_AP_amplitude_stim_102,0.05869644241285051,False
Amygdala,L5FS,dehyperpol_second_AHP_duration_stim_-40,0.06190503957351713,False
Amygdala,L5FS,sahp_first_AP_width_stim_250,0.0635168178599227,False
Amygdala,L5FS,idthres_mean_peak_voltage_stim_106,0.0635168178599227,False
Amygdala,L5FS,hyperdepol_first_AP_amplitude_stim_-120,0.0635168178599227,False
Amygdala,L5FS,hyperdepol_first_AP_width_stim_-120,0.0635168178599227,False
Amygdala,L5FS,sahp_first_AP_fall_time_stim_250,0.0635168178599227,False
Amygdala,L5FS,sahp_first_AHP_duration_stim_250,0.0635168178599227,False
Amygdala,L5FS,dehyperpol_first_time_to_AP_peak_stim_-120,0.0635168178599227,False
Amygdala,L5FS,hyperdepol_mean_AP_width_stim_-80,0.0635168178599227,False
Amygdala,L5FS,idthres_first_AP_amplitude_stim_106,0.0635168178599227,False
Amygdala,L5FS,dehyperpol_peak_frequency_stim_-160,0.0635168178599227,False
Amygdala,L5FS,sahp_second_AHP_duration_stim_300,0.0635168178599227,False
Amygdala,L5FS,idrest_second_ISI_values_stim_250,0.0635168178599227,False
Amygdala,L5FS,iv_mean_input_resistance_from_peak_stim_-40,0.0635168178599227,False
Amygdala,L5FS,sahp_peak_frequency_stim_300,0.0635168178599227,False
Amygdala,L5FS,dehyperpol_second_time_to_AP_peak_stim_-160,0.0635168178599227,False
Amygdala,L5FS,hyperdepol_mean_AP_fall_time_stim_-80,0.0635168178599227,False
Amygdala,L5FS,idthres_mean_AP_amplitude_stim_106,0.0635168178599227,False
Amygdala,L5FS,hyperdepol_mean_time_to_AP_peak_stim_-80,0.0635168178599227,False
Amygdala,L5FS,iv_first_input_resistance_from_peak_stim_-40,0.0635168178599227,False
